Sprite,Entry,Author
1.1.png,One of the first Fusion Pokémon documented in Kanto. Research suggests it photosynthesizes at quadruple the rate of a typical Bulbasaur.,fixthewifi
1.1.png,A Bulbasaur that has gone halfway through evolution. They tend to be aggressive with anything that approaches their seed.,Shuichi_le_sushi
1.1.png,It has a striking resemblance to its evolution. Scientists say that the fusion has caused unexpected growth in its DNA to create this appearance.,Soup1900
1.10.png,"The bud on its head blooms as it matures, with the petals drooping down to form a brittle carapace over time.",kandyman
1.100.png,"Despite their spherical appearance, POKENAME are unable to properly roll to travel. The bulbs on their backs store the electricity that powers them, so they would rather hop than risk damaging it.",Wildheartrazorfangs
1.101.png,"POKENAME excitedly run about on their short legs. Their lack of balance doesn't hinder them; when they fall, they simply roll back onto their feet. If their bulbs touch the ground, they release an explosion of sparks.",Wildheartrazorfangs
1.102.png,"POKENAME function as a hivemind of seeds from the same plant. Their bodies are divided into faces and bulbs, with the faces handling navigation and fighting, while the bulbs gather energy.",Wildheartrazorfangs
1.103.png,"The leaves atop POKENAME sprout from a single bulb, creating a miniature ecosystem within its body. The three heads communicate telepathically, with its leaves extending outward to repel anyone who interrupts them.",Wildheartrazorfangs
1.104.png,"POKENAME wear clay skulls to honor their Bulbasaur ancestors, decorating them with flowers to celebrate life. They wield vines from their bulbs as whips, striking hard enough to carve into the ground.",Wildheartrazorfangs
1.105.png,"With masterful vine control, POKENAME carve tunnels or pull fallen trees to create shelter. Their decorative skulls crack as they mature, reflecting the blooming of their bulbs as they grow into warriors.",Wildheartrazorfangs
1.106.png,"A POKENAME's limbs are made of coiled vines, allowing them to extend for greater reach or powerful leaps. POKENAME are proud fighters, but in kicking matches, their legs often tangle together.",Wildheartrazorfangs
1.107.png,"While POKENAME possess incredible punching strength, they prefer meditating in sunlight to fighting. When forced to fight, they wrap vines around their fists to cushion the first blow as a warning shot.",Wildheartrazorfangs 
1.108.png,"POKENAME grab berry bushes with their long tongues and shake them to gather all of the berries. Their tongues contain saliva with special nectar that helps plants grow, resulting in more frequent berry supplies.",Wildheartrazorfangs
1.109.png,"A POKENAME's body constantly produces spores lighter than air, allowing it to fly. When angered, POKENAME release spores to poison foes, leaving them immobile until enough spores regenerate for flight.",Wildheartrazorfangs
1.11.png,Exposure to direct sunlight dramatically speeds up the evolution process. POKENAME will use its vines to move out of shadows if necessary.,kandyman
1.110.png,"The bulb at the center of POKENAME acts as a power plant, gathering sunlight and producing spores light enough to lift its body. POKENAME mix these spores with poison to spray as a defense.",Wildheartrazorfangs
1.111.png,"POKENAME charge into battle, lashing with vines. They only use their horns if their enemy is directly in front, wrapping them in vines before delivering the finishing blow.",Wildheartrazorfangs
1.112.png,"POKENAME's large bulbs provide energy for long runs, so they keep them protected with their tails. They use their long horns to pick berries and share them with pre-evolutions.",Wildheartrazorfangs
1.113.png,"POKENAME cradle and protect a bulb in their special pouches. The bulb gathers energy through photosynthesis, which transfers to the POKENAME's body, creating a symbiotic relationship.",Wildheartrazorfangs
1.114.png,The bulb on its head stores energy from the sun's rays. This energy is used to repair POKENAME's vines when damaged and to help them grow.,DarkWeavile428
1.115.png,"Unlike most Bulbasaur fusions, POKENAME lack a bulb of their own. Instead, they offer their pouches to stray Bulbasaur, caring for them as if they were their own.",Wildheartrazorfangs
1.116.png,"POKENAME travel just below the water's surface, with the tips of their bulbs above to absorb sunlight without attracting predators. Disturbing their bulbs triggers furious bubble sprays.",Wildheartrazorfangs
1.117.png,"POKENAME use sharp spines to protect their bulbs, with the smooth interiors cradling them securely. They propel through water by spraying bubbles from their bulbs or snouts.",Wildheartrazorfangs
1.118.png,"POKENAME use their leafy tails to blend into algae and seaweed. They rest in sunlit spots to gather energy, allowing them to travel farther as they search for coral reefs to tend.",Wildheartrazorfangs
1.119.png,"Preferring deep waters, POKENAME require less sunlight than most Bulbasaur fusions. Green spots on their bodies absorb light and produce spores to disguise them in murky waters.",Wildheartrazorfangs
1.12.png,"The dust from POKENAME's wings accelerates plant growth. Certain flowers tend to grow in its wake. If you want to find POKENAME, follow the flowers.",kandyman
1.120.png,POKENAME likes to be in the sun while it takes in heat and turns it into energy. It rarely gets angry when bothered and likes to keep things peaceful.,krsgaming
